0,1,2,3
S-OIL,부경에너지(주)황제주유소,1268,1168
SK에너지,광신석유(주)신용,1268,1175
SK에너지,광신석유(주)나전,1269,1250
S-OIL,파란들주유소,1270,1170
현대오일뱅크,보배주유소,1275,1175
GS칼텍스,한서1주유소,1275,1175
SK에너지,광신석유(주)직영강남주유소,1275,1185
현대오일뱅크,명문주유소,1275,1175
GS칼텍스,신장유주유소,1275,1175
GS칼텍스,불모산주유소,1275,1175
S-OIL,(주)행복한식품 펭귄주유소,1275,1175
GS칼텍스,율하신도시주유소,1275,1175
NH-OIL,장유농협주유소,1275,1175
S-OIL,에스원에너지㈜,1275,1175
SK에너지,대양석유(주)서김해셀프주유소,1275,1175
SK에너지,광신석유(주)직영새김해주유소,1275,1185
알뜰주유소,해안셀프주유소,1275,1175
S-OIL,영진주유소 (주)유테크 김해지점,1275,1174
현대오일뱅크,(주)출광,1275,1175
S-OIL,반석주유소(주)기센에너지,1275,1174
S-OIL,에코주유소,1275,1175
SK에너지,대양석유(주)고속주유소,1275,1175
S-OIL,(주)경일진영지점 세경주유소,1278,1178
SK에너지,좌곤주유소,1278,1178
GS칼텍스,(주)우보주유소진영신도시,1278,1178
S-OIL,내룡주유소,1278,1178
GS칼텍스,진영셀프주유소,1278,1178
GS칼텍스,반가운주유소,1278,1178
알뜰(ex),김해금관가야(창원방향)주유소,1278,1178
SK에너지,두바이주유소,1278,1178
알뜰(ex),김해금관가야(기장방향)주유소,1278,1178
알뜰주유소,대로주유소,1279,1179
GS칼텍스,대진주유소,1279,1179
GS칼텍스,롯데주유소,1279,1179
GS칼텍스,(주)에이치제이에너지 대성주유소,1279,1239
현대오일뱅크,부성셀프주유소,1279,1179
NH-OIL,김해농협주유소,1279,1169
SK에너지,광신석유(주)서김해IC주유소,1279,1175
현대오일뱅크,신태양주유소,1279,1179
S-OIL,참셀프주유소,1279,1179
GS칼텍스,(주)천일에너지 천일주유소,1279,1179
알뜰주유소,서부주유소,1279,1169
현대오일뱅크,연지주유소,1279,1179
GS칼텍스,남해주유소,1279,1175
NH-OIL,김해농협서김해주유소,1279,1169
S-OIL,(주)글로베스트코리아 효천S-OIL,1280,1180
S-OIL,생림에스오일주유소,1280,1180
S-OIL,동산주유소,1283,1183
S-OIL,청천주유소,1284,1185
